School Name,Type,Grades,Location,Region,Curriculum,Lat,Lon
A.B.C. Private School,Private,KG1- Grade 8,AL SHAMKHA,Abu Dhabi Region,British,24.35447,54.70656
Abu Dhabi Australian School,Private,KG1- Grade12,SHAKHBOUT CITY,Abu Dhabi Region,International Baccalaureate,24.35447,54.63657
Abu Dhabi Grammar  School (Canada),Private,KG2- Grade12,ABU DHABI ISLAND,Abu Dhabi Region,Canadian,24.4919,54.3808
Abu Dhabi Indian - Branch1,Private,KG1- Grade12,AL WATHBA,Abu Dhabi Region,Indian,24.26382,54.65924
Abu Dhabi Indian School,Private,KG1- Grade12,ABU DHABI ISLAND,Abu Dhabi Region,Indian,24.445,54.4103
Abu Dhabi International Private School,Private,KG1- Grade12,ABU DHABI ISLAND,Abu Dhabi Region,"American,British",24.462,54.3657
Abu Dhabi International Private School-MBZ,Private,KG1- Grade12,MOHAMED BIN ZAYED CITY,Abu Dhabi Region,American,24.34621,54.54161
Abu Mousa Al Ashaari Private School,Private,KG1- Grade 5,AL WATHBA,Abu Dhabi Region,MoE,24.2731,54.6683
ADNOC SCHOOLS - SAS AL NAKHL,Private,KG1- Grade12,KHALIFA CITY,Abu Dhabi Region,American,24.4176,54.5135
Ajyal International Private School,Private,KG1- Grade12,MOHAMED BIN ZAYED CITY,Abu Dhabi Region,British,24.33891,54.55724
AJYAL INTERNATIONAL SCHOOL- ALFALAH,Private,KG1- Grade12,AL FALAH,Abu Dhabi Region,American,24.44554,54.72138
Al Bahya Private School,Private,KG1- Grade 6,KHALIFA CITY,Abu Dhabi Region,MoE,24.41832,54.56593
Al Bashair Private School,Private,KG1- Grade12,MOHAMED BIN ZAYED CITY,Abu Dhabi Region,MoE,24.3201,54.5342
Al Basma private school,Private,KG1- Grade12,AL BAHYA,Abu Dhabi Region,British,24.52463,54.66642
Al Bateen Scientific Private School,Private,KG1- Grade12,ABU DHABI ISLAND,Abu Dhabi Region,American,24.4551,54.3414
Al Bateen Secondary-Al Mushrif Private School,Private,KG1- Grade12,ABU DHABI ISLAND,Abu Dhabi Region,"International Baccalaureate,British",24.4584,54.3614
AL DAR ACADEMIES-AL-MAMOURA SCHOOL L.L.C BRANCH5,Private,KG1-Grade12,ABU DHABI ISLAND,Abu Dhabi Region,British,24.46571,54.39368
AL DAR ACADEMIES-WEST YAS SCHOOL L.L.C BRANCH6,Private,KG1-Grade12,YAS ISLAND,Abu Dhabi Region,American,24.49456,54.58919
Al Dhabiania Private School,Private,KG1- Grade12,ABU DHABI ISLAND,Abu Dhabi Region,MoE,24.4595,54.3566
Al Dhafra Private Schools,Private,KG1- Grade12,MOHAMED BIN ZAYED CITY,Abu Dhabi Region,American,24.34551,54.532
Al Ekhlass Private School,Private,KG1- Grade12,BANIYAS,Abu Dhabi Region,MoE,24.2918,54.639
Al Iman Private School,Private,KG2- Grade10,ABU DHABI ISLAND,Abu Dhabi Region,MoE,24.4693,54.3703
Al Ittehad National Private School - Abu Dhabi,Private,KG1- Grade12,KHALIFA CITY,Abu Dhabi Region,American,24.4037,54.5855
Al Maali International School,Private,KG1- Grade12,MOHAMED BIN ZAYED CITY,Abu Dhabi Region,"MoE,American",24.31672,54.53373
Al Maharat Private School,Private,KG1- Grade12,SHAKHBOUT CITY,Abu Dhabi Region,MoE,24.38994,54.64561
AL MANARA PRIVATE BRANCH 1,Private,KG1- Grade12,MOHAMED BIN ZAYED CITY,Abu Dhabi Region,MoE,24.35660646,54.55104953
Al Manara Private School,Private,KG1- Grade12,BANIYAS,Abu Dhabi Region,MoE,24.29045,54.63083
Al Manhal International Private School,Private,KG1- Grade12,ABU DHABI ISLAND,Abu Dhabi Region,MoE,24.4289,54.4098
Al Muna Primary School-Abu Dhabi,Private,KG1- Grade 6,ABU DHABI ISLAND,Abu Dhabi Region,British,24.4867,54.3625
AL MUNEERA PRIVATE SCHOOL,Private,KG1- Grade12,BANIYAS,Abu Dhabi Region,MoE,24.3212,54.6367
Al Murooj Scientific Private School,Private,KG2- Grade8,MOHAMED BIN ZAYED CITY,Abu Dhabi Region,British,24.34672,54.53394
Al Nahda National School - Boys,Private,Grade5 - Grade12,ABU DHABI ISLAND,Abu Dhabi Region,"American,British",24.4581,54.3867
Al Nahda National School - Girls,Private,KG1- Grade12,ABU DHABI ISLAND,Abu Dhabi Region,"American,British",24.4367,54.3998
Al Najah Private School,Private,KG1- Grade12,MOHAMED BIN ZAYED CITY,Abu Dhabi Region,"International Baccalaureate,British",24.3396,54.5368
Al Rabeeh Academy,Private,KG1- Grade5,MOHAMED BIN ZAYED CITY,Abu Dhabi Region,British,24.3169825,54.5584833
Al Rabeeh School LLC,Private,KG1- Grade 6,ABU DHABI ISLAND,Abu Dhabi Region,British,24.4423,54.4003
Al Shohub School,Private,KG1- Grade12,KHALIFA CITY,Abu Dhabi Region,British,24.43206,54.584
Al Sorouh American School,Private,KG1- Grade 6,SHAKHBOUT CITY,Abu Dhabi Region,American,24.37514,54.63927
Al Tharawat National Private School,Private,KG1- Grade12,BANIYAS,Abu Dhabi Region,MoE,24.28925,54.64452
Al Yasat Private School,Private,KG1- Grade12,AL SHAMKHA,Abu Dhabi Region,American,24.39504,54.71092
Al Yasmina School,Private,KG1- Grade12,KHALIFA CITY,Abu Dhabi Region,British,24.4257,54.5465
ALANSAR INT. PRIVATE SCHOOL,Private,KG1-Grade12,AL SHAMKHA,Abu Dhabi Region,British,24.35647,54.70421
American Community Private School,Private,KG1- Grade12,ABU DHABI ISLAND,Abu Dhabi Region,American,24.4639,54.3406
Amity International School L.L.C,Private,KG1- Grade12,AL BAHYA,Abu Dhabi Region,British,24.53648,54.632
Ashbal Al Quds Private Secondary School,Private,KG1- Grade12,SHAKHBOUT CITY,Abu Dhabi Region,MoE,24.3601,54.6279
ASPEN HEIGHTS BRITISH SCHOOL,Private,KG1- Grade12,AL BAHYA,Abu Dhabi Region,British,24.51457811,54.665728
Bani Yas International Private School,Private,KG1- Grade12,BANIYAS,Abu Dhabi Region,American,24.3237,54.6332
Baraem Al Ain Private School / Bani Yas,Private,KG1- Grade12,BANIYAS,Abu Dhabi Region,MoE,24.2814,54.6545
Beit Al Maqdes International Private School,Private,KG1- Grade12,MOHAMED BIN ZAYED CITY,Abu Dhabi Region,MoE,24.3272,54.5328
Belvedere British School,Private,KG1- Grade12,MOHAMED BIN ZAYED CITY,Abu Dhabi Region,British,24.34289,54.53472
