Locality,Latitude,Longitude
Abu Dhabi Airport,24.4231,54.6561
Abu Dhabi Gate City,24.3937,54.5021
Al Ain,24.223974,55.751006
Al Aman,24.43226,54.42353
Al Atir,23.16261,53.73617
Al Bahia,24.560937,54.640933
Al Baladiyah,24.48786,54.37447
Al Bateen,24.445966,54.352623
Al Dhafrah,24.476147,54.36936
Al Falah City,24.4368,54.705
Al Falah New Community,24.448868,54.727545
Al Ghadeer,24.842717,55.02715
Al Hadhi,23.10642,53.99527
Al Hayer,24.588886,55.744158
Al Hisn,24.48023,54.35301
Al Hosn,24.482646,54.352166
Al Hudayriat Island,24.4206,54.349
Al Idd,23.07989,53.55245
Al Ittihad,24.45498,54.38857
Al Jahr,24.25,55.58333
Al Jami al Kabir,24.41237,54.4762
Al Karamah,24.4653,54.371509
Al Khabb,24.58969,55.74627
Al Khaleej Al Arabi,24.4218,54.42
Al Khalidiya,24.470182,54.347228
Al Khalidiyah,24.46769,54.34959
Al Khatim,24.2,54.83333
Al Khazna,24.169088,55.134002
Al Khaznah,24.16797,55.11157
Al Khis,23.00848,54.19626
Al Khubayrah,24.46346,54.33108
Al Khubeirah,24.465247,54.33683
Al Mafraq,24.30384,54.62891
Al Manhal,24.47655,54.360573
Al Maqta,24.4026,54.4714
Al Marfa,24.09911,53.49077
Al Mariah United Group,24.49424,54.36767
Al Mariyah,23.13848,53.7426
Al Mariyah al Gharbiyah,23.10265,53.58185
Al Markaziyah,24.493343,54.366675
Al Mashrub,23.07646,54.01347
Al Mina,24.52066,54.372529
Al Mirfa,24.09616,53.487065
Al Mughayra',24.07843,53.53842
Al Muqattarah,24.26762,54.56193
Al Muroor,24.449728,54.403337
Al Murur,24.4493,54.40297
Al Musalla,24.45853,54.37699
Al Mushrif,24.447226,54.377488
Al Mu'tarad,24.219,55.73989
Al Muwayqi'i,24.23333,55.7
Al Muzun,24.4106,54.43431
Al Nahda,24.2445,54.7411
Al Nahyan,24.46493,54.39134
Al Najda,24.49578,54.36775
Al Qaia,24.51926,55.75606
Al Qimi,24.24914,55.74582
Al Qurm,24.437,54.4521
Al Raha Beach,24.4381,54.5728
Al Raha Corniche,24.44246,54.44653
Al Raha Gardens,24.434152,54.573176
Al Raha Golf Gardens,24.420562,54.532078
Al Rahba,24.625061,54.712876
Al Ras Al Akhdar,24.459483,54.309943
Al Reef,24.454611,54.67419
Al Reem Island,24.4929,54.406
Al Rowdah,24.456413,54.359557
Al Ruwais,24.087699,52.655261
Al Samha,24.6787,54.7582
Al Shahama,24.5481,54.6837
Al Shamkha,24.388469,54.718414
Al Sowwah,24.4998,54.3904
Al Udayd,24.61667,51.4
Al Wahdah,24.46876,54.37632
Al Wathbah,24.25958,54.70781
Al Zaab,24.46701,54.36018
Al Nadi as Siyahi,24.49484,54.37891
Al Nashshash,23.0811,54.03635
Al Qbiyah,24.16111,55.65694
Al Radah,22.99231,53.42892
Al Ra's al Akhdar,24.46072,54.30713
Al Rawdah,24.46035,54.36709
Al Rihan,24.42849,54.43549
Al Ruways,24.11028,52.73056
Al Shahamah,24.54977,54.68091
Al Shibhanah,24.13333,51.65
Al Slabeikh,24.18333,55.21667
Al Sulaymat,24.22194,55.60306
Attab,23.1518,53.8811
Ayn al Faydah,24.08333,55.68333
Al Zafrah,24.47825,54.37566
Al Zahra,24.43905,54.43548
Badiyah,23.61619,53.84309
