,School Name,Location,Latitude,Longitude,Type of School,"2018/19
DSIB Rating"
1,Al Adab Iranian Private School for Boys,Al Qusais,25.276381,55.368653,  Iranian,Acceptable
2,Al Adab Iranian Private School for Girls,Al Qusais,25.276431,55.369036,  Iranian,Acceptable
3,MSB Private School,Al Nahda 2,25.290983,55.378581,  UK,Good
4,Al Arqm Private School,Al Barsha 1,25.108514,55.189206,  Ministry of Education,Acceptable
5,Al Basateen Private Nursery,Al Khawaneej 1,25.231106,55.522533,  Ministry of Education,Good
6,Al Basateen Private Nursery Hatta branch,Hatta,24.798719,56.124897,  Ministry of Education,Good
7,Al Diyafah High School,Al Nahda 2,25.290128,55.374764,  UK,Good
8,Al Eman Educational Est ( Al Eman private School ),Al Rashidiya,25.230481,55.389272,  Ministry of Education,Acceptable
9,Al Ittihad Private school,Al Mamzar,25.299889,55.344353,  American,Good
10,Al Ittihad Private School (BR),Al Safa 1,25.180714,55.241033,  American,Good
11,Al Khaleej National School,Al Garhoud,25.234294,55.352911,  American,Good
12,Al Maaref Private School (LLC),Al Qusais,25.286192,55.367858,  American,Acceptable
13,Al Mawakeb School - Al Garhoud,Al Garhoud,25.234675,55.358314,  American,Good
14,Al Mawakeb School - Br,Al Barsha 2,25.104503,55.201706,  American,Good
15,Al Mizhar American Academy School,Al Mizhar 1,25.238386,55.428675,  American,Good
16,Al Nibras International private School,Dubai Investment Park,25.000017,55.171757,  American,Acceptable
17,Al Rashid Al Saleh Private School,Oud Metha,25.238486,55.314753,  Ministry of Education,Good
18,Al Sadiq Islamic English School,Al Qusais,25.265897,55.385764,  UK,Acceptable
19,Safa British School,Al Quoz 4,25.178439,55.238414,  UK,Good
20,Al Salam Private School,Al Nahda 2,25.288675,55.369481,  UK,Good
21,Al Shurooq Private School,Jumeirah 1,25.213097,55.2553,  Ministry of Education,Acceptable
22,Ambassador Kindergarten LLC,Al Mankhool,25.246404,55.294147,  Indian,Very Good
23,Ambassador School L.L.C,Al Mankhool,25.245899,55.288406,  Indian,Good
24,American International School,Al Qusais,25.283458,55.368764,  American,Acceptable
25,American School of Creative Science,Al Barsha,25.080755,55.217488,American,Acceptable
26,American School of Dubai,Al Barsha 2,25.10029,55.182186,  American,Good
27,AMLED SCHOOL,Al Quoz 4,25.149529,55.247849,Indian,Good
28,Apple International School,Al Qusais,25.279325,55.374656,  UK,Good
29,Arab Unity School,Al Mizhar 1,25.236623,55.430285,  UK,Acceptable
30,Bilva Indian School,Al Qusais,25.282245,55.370429,  Indian,Good
31,GEMS United School,Dubai Sports City,25.035053,55.22865,  American,Good
32,Buds Public School,Al Muhaisnah 1,25.240664,55.407408,  Indian,Acceptable
33,Cambridge International School,Al Garhoud,25.235847,55.350853,  UK,Good
34,CAPITAL SCHOOL.,Al Qusais,25.284464,55.371974,  UK,Acceptable
35,Clarion School L.L.C,Al Quoz 1,25.16609001,55.257061,American,Good
