name,address,latitude,longitude
Cranleigh Abu Dhabi,Saadiyat Island,24.53671,54.42457
GEMS American Academy,Khalifa City A,24.39774,54.57426
American Community School Abu Dhabi,Khalidiya,24.474796,54.370576
Al Bateen Academy,Al Manaseer,24.22265,55.7651
Brighton College Abu Dhabi,Bloom Gardens & Khalifa City,24.39774,54.57426
Repton Foundation School   Rose Campus  Abu Dhabi,Al Reem Island,24.48584,54.40532
Sheikh Zayed Academy for Boys,Al Khalidia,24.22265,55.7651
British School Al Khubairat,Abu Dhabi,24.25349,54.65747
British International School Abu Dhabi,Shakhbout City,24.40374,54.67124
Al Mamoura Academy Abu Dhabi,Al Nahyan,24.22265,55.7651
West Yas Academy,Yas West,24.46994,54.605233
GEMS World Academy Abu Dhabi,Al Danah,24.465765,54.338979
Raha International School,Gardens,26.16463,50.5651
Sheikh Zayed Academy for Girls,Al Bateen,24.4688,54.33817
Al Yasmina Academy,Al Raha Gardens,24.474796,54.370576
Amity International School Abu Dhabi,Al Bahya,24.51508,54.66179
MindChamps Abu Dhabi,Bloom Gardens & Khalifa City,24.39774,54.57426
American International School Abu Dhabi,Al Reehan,24.22265,55.7651
Al Muna Academy,Al Markaziyah,24.48963,54.35779
Redwood Montessori Nursery Bateen,Al Bateen,24.4688,54.33817
The Pearl Academy,Al Dhafrah,24.47742,54.36782
Canadian International School,Khalifa City A,24.39774,54.57426
Aspen Heights British School,Al Bahya,24.51508,54.66179
Ajyal International School MBZ,Mohammed Bin Zayed City,24.31542,55.79643
German International School Abu Dhabi,Zaab,24.46283,54.36203
Orange Seeds Nursery,Al Maqtaa,24.40469,54.48091
Humpty Dumpty Nursery Abu Dhabi - Al Bateen,Al Bateen,24.4688,54.33817
Humpty Dumpty Nursery,Khalifa City A,24.39774,54.57426
Horizon Private School Branch,Khalifa City A,24.39774,54.57426
Abu Dhabi International School MBZ branch,Mohammed Bin Zayed City,24.31542,55.79643
International Community School Al Falah,Al Falah,24.43756,54.45875
Blooming Buds Nursery,Al Bateen,24.4688,54.33817
ADNOC Schools Sas Al Nakhl,Umm Al Nar,24.47709,54.36891
Maple Wood International School,Mohammed Bin Zayed City,24.31542,55.79643
Lyçée Français Louis Massignon,Al Zahra,24.43875,54.39811
Emirates National School Al Nahyan   Secondary  ,Al Nahyan,24.22265,55.7651
Lyçée Français Théodore Monod Saadiyat,Saadiyat Island,24.53671,54.42457
International Community School Mushrif,Al Mushrif,24.43296,54.37649
Redwood Montessori Nursery Saadiyat Island,Saadiyat Island,24.53671,54.42457
Redwood Montessori Nursery Khalifa City A,Khalifa City A,24.39774,54.57426
Al Shohub School,Khalifa City A,24.39774,54.57426
Emirates National School Mohammed Bin Zayed City,Mohammed Bin Zayed City,24.31542,55.79643
Al Dhafra Private School,Abu Dhabi,24.31542,55.79643
International Academic School Abu Dhabi,Shakhbout City,24.40374,54.67124
Emirates National School Al Ain,Towaya,24.24779,55.69647
Sharjah American International School Abu Dhabi,Shakhbout City,24.40374,54.67124
Teddy Bear Nursery Al Bateen,Al Bateen,24.4688,54.33817
Teddy Bear Nursery Mohammed bin Zayed City,Mohammed Bin Zayed City,24.31542,55.79643
Teddy Bear Nursery Khalifa City A,Khalifa City A,24.39774,54.57426
