School,Address,Curriculum,Rate,latitude,longitude
International Academic School,Al Wathba,American,Acceptable ,24.33484,54.69391
Baniyas International Private School,Baniyas East,American,Acceptable ,24.474796,54.370576
Virginia International Private School,Khalifa City,American,Acceptable ,24.41121,54.59284
Summit International School,Mohamed Bin Zayed City,American,Acceptable ,24.4797,54.36269
Elite (Al Nukhba) Private School,Mohamed Bin Zayed City,American,Acceptable ,24.31542,55.79643
Al Sorouh American School,Shakbout City,American,Acceptable ,24.40374,54.67124
ICS Mushrif International Community Schools,Al Mushrif,American,Good,24.43296,54.37649
Al Bateen Scientific Private School,Al Nahyan,American,Good,24.413796,54.56842
Ajyal International School,Al Falah City,American,Good,24.43756,54.45875
Al Yasat Private School,Al Shamkha,American,Good,24.40847,54.7434
Rawafed Private School,Khalifa City,American,Good,24.474796,54.370576
Al Ittihad National Private School,Khalifa City,American,Good,24.39774,54.57426
International Jubilee Private School,Mohamed Bin Zayed City,American,Good,24.48279,54.35928
Al Dhafra Private Schools,Mohamed Bin Zayed City,American,Good,24.31542,55.79643
Sas Al Nakhl School,Sas al Nakhl island,American,Good,24.26438,55.74275
Aldar Academies,Yas Island,American,Good,24.46195,54.60795
Sheikh Zayed Private Academy for Girls,Al Bateen,American,Very Good ,24.4715,54.35203
American Community School,Al Bateen,American,Very Good ,24.4688,54.33817
The Sheikh Zayed Private Academy for Boys,Al Khalidyah,American,Very Good ,24.474796,54.370576
American International School,AL Reem Island,American,Very Good ,24.43778,54.40798
"Horizon Private School- Branch, Khalifa City",Khalifa City,American,Very Good ,24.474796,54.370576
Emirates National School,Mohamed Bin Zayed City,American,Very Good ,24.31542,55.79643
 International School,Mohamed Bin Zayed City,American,Very Good ,24.33826,54.54317
Emirates National School,Al Nahyan,American,,24.22265,55.7651
ABC Private School,Al Shamkha,British,Acceptable ,24.40847,54.7434
Wales International School,Al Shamkha,British,Acceptable ,24.41477,54.7174
Reach British School ,Baniyas East,British,Acceptable ,24.49696,54.36092
Crescent International Private School,Khalifa City,British,Acceptable ,24.39774,54.57426
Al Shohub School,Khalifa City,British,Acceptable ,24.39774,54.57426
Belvedere British School,Mohamed Bin Zayed City,British,Acceptable ,24.33826,54.54317
Amity International School,Al Bahya,British,Good,24.51508,54.66179
GEMS Winchester School,"Al Danah,",British,Good,24.474796,54.370576
ICS City Centre - International Community Schools - Branch 1,Al Dhafrah,British,Good,24.474796,54.370576
Good Will Children Private School LLC,AL Musaffah,British,Good,24.31542,55.79643
Diyafah International Private School,Mohamed Bin Zayed City,British,Good,24.31542,55.79643
Ajyal International School,Mohamed Bin Zayed City,British,Good,24.39728,54.50154
Al Rabeeh School,,British,Good,24.474796,54.370576
"Aldar Academies, Al Muna Academy",Al Bateen,British,Outstanding ,24.47634,54.34719
Al Basma British School,Al Dhafrah,British,Very Good ,24.42467,54.41024
"Aldar Academies, The Pearl Academy",Al Dhafrah,British,Very Good ,24.47742,54.36782
Merryland International School,AL Musaffah,British,Outstanding ,24.40815,54.51197
British School Al Khubairat,AL Mushrif,British,Outstanding ,24.41393,54.67127
Repton School ,AL Reem Island,British,Very Good ,24.48584,54.40532
"Aldar Academies, Al Yasmina Academy",Khalifa Cfty,British,Very Good ,24.48506,54.64169
Cranleigh  School,Saadiyat Island,British,Outstanding ,24.53671,54.42457
Al Ansar Private School,Al Shamkha City,British,Weak ,24.41477,54.7174
Aspen Heights British School,Al Bahya,British,,24.51508,54.66179
Al Rayyan National Private School,Rowdha,British,,24.45805,54.3694
"Al Nahda National School, Girls",Al Mushrif,"British, American",Acceptable ,24.41283,54.58984
Al Nahda National School,Al Nahyan,"British, American",Good,24.474796,54.370576
Al Najah Private School,Mohamed Bin Zayed City,"British, American",Good,24.31789,54.53941
International Indian School,Baniyas West,"British, Indian",Good,24.30801,54.61207
Maple Wood International School,Mohamed Bin Zayed City,Canadian,Acceptable ,24.31542,55.79643
Canadian International School,Khalifa City,Canadian,Good,24.39774,54.57426
The Philippine Global School,Al Zaafarana,Filipino,Acceptable ,24.474796,54.370576
The Philippine School,Baniyas East,Filipino,Acceptable ,24.33094,54.6339
Philippine Emirates Private School,Baniyas East,Filipino,Acceptable ,24.30509,54.64073
Lycee Francais Theodore Monod,Al Bateen,French,Acceptable ,24.4587,54.3438
Lycee Louis Massignon,Zone 1,French,Very Good ,24.438954,54.430945
German International School ,AL Manhal,German,Very Good ,24.46668,54.3607222
Australian School,Shakbout City,IB,Acceptable ,24.37815,54.63261
GEMS World Academy,"Al Danah,",IB,Very Good ,24.477953,54.381534
Raha International School,Khalifa City,IB,Outstanding ,24.39774,54.57426
Emirates National School,Al Nahyan,"IB, American",Acceptable ,24.474796,54.370576
GEMS American Academy,Khalifa City,"IB, American",Very Good ,24.39774,54.57426
"Aldar Academies, Al Mamoura Academy",Al Nahyan,"IB, British",Good,24.474796,54.370576
"Aldar Academies, Al Bateen Academy",Al Manaseer Area,"IB, British",Good,24.45084,54.35784
British International School,Zayed City,"IB, British",Very Good ,24.3705268,54.5616805
 International School,AL Manhal,"IB, British, American",Good,24.46251,54.36909
GEMS Cambridge International School,Baniyas East,"IGCSE, British",Good,24.08691,52.65251
 Indian School,Al Zaafarana,Indian,Acceptable ,24.474796,54.370576
Shining Star International School,AL Musaffah,Indian,Acceptable ,24.37021,54.66047
The Model School,AL Musaffah,Indian,Acceptable ,24.46372,54.67659
 Indian School,Al Wathba,Indian,Acceptable ,24.25434,54.62928
Sunrise English Private School,AL Musaffah,Indian,Good,24.34859,54.4995
Mayoor Private School,Al Wathba,Indian,Good,24.4764,54.36801
GEMS United Indian School,Baniyas West,Indian,Good,24.274506,55.775106
Bright Riders Schoo,Mohamed Bin Zayed City,Indian,Good,24.31542,55.79643
Private International English School,Mohamed Bin Zayed City,Indian,Very Good ,24.33826,54.54317
Sheikh Khalifa Bin Zayed Bangladesh School,Zone 1,Indian,Weak ,24.431741,54.4171094
Asian International,Mohamed Bin Zayed City,Indian,,24.47777,54.36497
Emirates Future International Academy,AL Musaffah,"Indian, American",Acceptable ,-27.50183,153.07433
New Indian Model School,AL Musaffah,"Indian, American",,24.34859,54.4995
Japanese Private School,Al Bateen,Japanese,Very Good ,24.45042,54.3212398
Polaris Private Academy,Al Dhafrah,MOE,Acceptable ,24.47742,54.36782
Yas Academy School,Al Dhafrah,MOE,Acceptable ,24.474796,54.370576
Al Iman Private School,AL Manhal,MOE,Acceptable ,24.54189,54.69408
Vision Private School,Al Mushrif,MOE,Acceptable ,24.45077,54.35734
Al Manhal International Private School,Al Mushrif,MOE,Acceptable ,24.43069,54.39842
Baraem Al Ain Private School,Al Muwaiji,MOE,Acceptable ,24.22297,55.72284
Al Muneera Private School,Baniyas East,MOE,Acceptable ,24.474796,54.370576
Al Ekhlass Private School,Baniyas East,MOE,Acceptable ,24.48353,54.38425
Al Manara Private School,Baniyas West,MOE,Acceptable ,24.46413,54.32655
Beit Al Maqdes International Private School,Khalifa City,MOE,Acceptable ,24.49044,54.35731
Ashbal Al Quds Private School,Shakbout City,MOE,Acceptable ,24.474796,54.370576
Modern Private School,Shakbout City,MOE,Acceptable ,24.35319,54.62994
Al Maharat Private School,Shakbout City,MOE,Acceptable ,24.40422,54.56815
Rosary School,Al Mushrif,MOE,Good,24.43232,54.39883
Horizon Private School (MOE),Khalifa City,MOE,Good,24.39774,54.57426
Al Bahya Private School,Khalifa City,MOE,Good,24.39774,54.57426
Al Bashair Private School,Mohamed Bin Zayed City,MOE,Good,24.474796,54.370576
Al Tharawat National Private School,Baniyas East,MOE,Very Weak ,24.29575,54.63382
Abu Mousa Al Ashaari Private School,Baniyas East,MOE,Weak ,24.08691,52.65251
"Emirates Private School, Bani Yas",Baniyas East,MOE,Weak ,24.48353,54.38425
Dar Al Uloom Private School,Baniyas West,MOE,Weak ,24.08691,52.65251
Scholars American International School,Shakbout City,"MOE, American",Acceptable ,24.40374,54.67124
Cambridge High School,AL Musaffah,"MOE, British",Good,24.31542,55.79643
Emirates Private School,Al Zaafarana,"MOE, British, American",Good,24.45855,54.34521
Al Dhabiania Private School,Shakbout City,"MOE, Islamic, Arabic",Good,24.474796,54.370576
Al Dhabiania Private School,Shakbout City,"MOE, Islamic, Arabic",Good,24.474796,54.370576
Sheikh Khalifa bin Zayed Arab Pakistan Private School,Al Zaafarana,Pakistani,Acceptable ,24.44313,54.40414
Pakistan Community Welfare School,AL Musaffah,Pakistani,Weak ,24.34859,54.4995
International School of Choueifat,Al Mushrif,SABIS,Acceptable ,24.45591,54.38013
"International School of Choueifat, Khalifa City",Khalifa City,SABIS,Good,24.39774,54.57426
Islamia English School,Al Nahyan,British,Acceptable ,24.474796,54.370576
Emirates National Private School,Al Bateen,IB,Acceptable ,24.4688,54.33817
Saint Joseph's School,Al Mushrif,Indian,Good,24.328139,55.796045
